Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Kant’s Theory of Natural Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-1126-3","Peter Plaass","1994","http://link.springer.com/book/10.1007/978-94-011-1126-3","Book"
"Ernst Mach — A Deeper Look","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2771-4","John Blackmore","1992","http://link.springer.com/book/10.1007/978-94-011-2771-4","Book"
"Models of Discovery","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-9521-1","Herbert A. Simon","1977","http://link.springer.com/book/10.1007/978-94-010-9521-1","Book"
"Honoré Fabri and the Concept of Impetus: A Bridge between Paradigms","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-1605-6","Michael Elazar","2011","http://link.springer.com/book/10.1007/978-94-007-1605-6","Book"
"Phenomenology and Dialectical Materialism","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-5191-4","Robert S. Cohen","1986","http://link.springer.com/book/10.1007/978-94-009-5191-4","Book"
"Chinese Studies in the History and Philosophy of Science and Technology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8717-4","Fan DainianRobert S. Cohen","1996","http://link.springer.com/book/10.1007/978-94-015-8717-4","Book"
"Measurement","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7828-7","Karel Berka","1983","http://link.springer.com/book/10.1007/978-94-009-7828-7","Book"
"The Structure and Development of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9459-1","Gerard RadnitzkyGunnar Andersson","1979","http://link.springer.com/book/10.1007/978-94-009-9459-1","Book"
"The Founders of Evolutionary Genetics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2856-8","Sahotra Sarkar","1992","http://link.springer.com/book/10.1007/978-94-011-2856-8","Book"
"Perspectives on Time","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8875-1","Jan FayeUwe SchefflerMax Urchs","1997","http://link.springer.com/book/10.1007/978-94-015-8875-1","Book"
"Foundations of the Logical Theory of Scientific Knowledge (Complex Logic)","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2501-0","A. A. Zinov’ev","1973","http://link.springer.com/book/10.1007/978-94-010-2501-0","Book"
"Metaarchaeology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-1826-2","Lester Embree","1992","http://link.springer.com/book/10.1007/978-94-011-1826-2","Book"
