Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Art of the Intelligible","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-4209-0","John L. Bell","1999","http://link.springer.com/book/10.1007/978-94-011-4209-0","Book"
"Metaphysics and Philosophy of Science in the Seventeenth and Eighteenth Centuries","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-2997-5","R. S. Woolhouse","1988","http://link.springer.com/book/10.1007/978-94-009-2997-5","Book"
"The Natural Philosophy of Leibniz","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-5490-8","Kathleen OkruhlikJames Robert Brown","1985","http://link.springer.com/book/10.1007/978-94-009-5490-8","Book"
"Foundational Theories of Classical and Constructive Mathematics","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-007-0431-2","Giovanni Sommaruga","2011","http://link.springer.com/book/10.1007/978-94-007-0431-2","Book"
"Structural Realism","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-007-2579-9","Elaine LandryDean Rickles","2012","http://link.springer.com/book/10.1007/978-94-007-2579-9","Book"
"Music and Science in the Age of Galileo","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-8004-5","Victor Coelho","1992","http://link.springer.com/book/10.1007/978-94-015-8004-5","Book"
"Empiricism and Darwin’s Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-3756-0","Fred Wilson","1991","http://link.springer.com/book/10.1007/978-94-011-3756-0","Book"
"The Creation of Ideas in Physics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-0037-3","Jarrett Leplin","1995","http://link.springer.com/book/10.1007/978-94-011-0037-3","Book"
"Contemporary Research in Philosophical Logic and Linguistic Semantics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1756-5","D. HockneyW. HarperB. Freed","1975","http://link.springer.com/book/10.1007/978-94-010-1756-5","Book"
"Physical Theory as Logico-Operational Structure","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-9769-1","C. A. Hooker","1979","http://link.springer.com/book/10.1007/978-94-009-9769-1","Book"
"Leibniz’s Metaphysics of Nature","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-8445-5","Nicholas Rescher","1981","http://link.springer.com/book/10.1007/978-94-009-8445-5","Book"
"Perspectives on Quantum Reality","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-8656-6","Rob Clifton","1996","http://link.springer.com/book/10.1007/978-94-015-8656-6","Book"
"Kant’s Philosophy of Physical Science","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4730-6","Robert E. Butts","1986","http://link.springer.com/book/10.1007/978-94-009-4730-6","Book"
"Foundations of Probability Theory, Statistical Inference, and Statistical Theories of Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1853-1","William L. HarperClifford Alan Hooker","1976","http://link.springer.com/book/10.1007/978-94-010-1853-1","Book"
"Kant and the Double Government Methodology","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-6393-1","Robert E. Butts","1986","http://link.springer.com/book/10.1007/978-94-009-6393-1","Book"
"Is Science Sexist?","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-8443-1","Michael Ruse","1981","http://link.springer.com/book/10.1007/978-94-009-8443-1","Book"
"Images, Perception, and Knowledge","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1193-8","John M. Nicholas","1977","http://link.springer.com/book/10.1007/978-94-010-1193-8","Book"
"Science, Decision and Value","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-2571-3","James LeachRobert ButtsGlenn Pearce","1973","http://link.springer.com/book/10.1007/978-94-010-2571-3","Book"
"Scientific Realism","Scientific Realism","","","","10.1007/978-94-009-3905-9","Nicholas Rescher","1987","http://link.springer.com/book/10.1007/978-94-009-3905-9","Book"
"Person und Dasein","Phaenomenologica","","","","10.1007/978-94-015-6882-1","Manfred S. Frings","1969","http://link.springer.com/book/10.1007/978-94-015-6882-1","Book"
"Essays on the Foundations of Mathematics by Moritz Pasch","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-90-481-9416-2","Stephen Pollard","2010","http://link.springer.com/book/10.1007/978-90-481-9416-2","Book"
"Likeness to Truth","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4658-3","Graham Oddie","1986","http://link.springer.com/book/10.1007/978-94-009-4658-3","Book"
"Euclid’s Heritage: Is Space Three-Dimensional?","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-8096-0","Peter Janich","1992","http://link.springer.com/book/10.1007/978-94-015-8096-0","Book"
"Basic Problems in Methodology and Linguistics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-017-0837-1","Robert E. ButtsJaakko Hintikka","1977","http://link.springer.com/book/10.1007/978-94-017-0837-1","Book"
"The Interpretation of Quantum Mechanics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-2229-3","Jeffrey Bub","1974","http://link.springer.com/book/10.1007/978-94-010-2229-3","Book"
"Kant and Contemporary Epistemology","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-0834-8","Paolo Parrini","1994","http://link.springer.com/book/10.1007/978-94-011-0834-8","Book"
"Galileo, Human Knowledge, and the Book of Nature","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-2620-5","Joseph C. Pitt","1992","http://link.springer.com/book/10.1007/978-94-011-2620-5","Book"
"Causality, Method, and Modality","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-3348-7","Gordon G. Brittan Jr.","1991","http://link.springer.com/book/10.1007/978-94-011-3348-7","Book"
"Number to Sound","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-9578-0","Paolo Gozza","2000","http://link.springer.com/book/10.1007/978-94-015-9578-0","Book"
"Tradition and Innovation","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-1581-7","J. E. McGuire","1995","http://link.springer.com/book/10.1007/978-94-009-1581-7","Book"
"Ernst Mach’s World Elements","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-017-0175-4","Erik C. Banks","2003","http://link.springer.com/book/10.1007/978-94-017-0175-4","Book"
"Constructivism and Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-0959-5","Robert E. ButtsJames Robert Brown","1989","http://link.springer.com/book/10.1007/978-94-009-0959-5","Book"
"Otto Hahn and the Rise of Nuclear Physics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-7133-2","William R. Shea","1983","http://link.springer.com/book/10.1007/978-94-009-7133-2","Book"
"Nature Mathematized","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-6957-5","William R. Shea","1983","http://link.springer.com/book/10.1007/978-94-009-6957-5","Book"
"Causation in Decision, Belief Change, and Statistics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-2865-7","William L. HarperBrian Skyrms","1988","http://link.springer.com/book/10.1007/978-94-009-2865-7","Book"
"Scientific Rationality: The Sociological Turn","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-7688-8","James Robert Brown","1984","http://link.springer.com/book/10.1007/978-94-015-7688-8","Book"
"The Logico-Algebraic Approach to Quantum Mechanics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1795-4","C. A. Hooker","1975","http://link.springer.com/book/10.1007/978-94-010-1795-4","Book"
"The Philosophy of Right and Left","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-3736-2","James Van CleveRobert E. Frederick","1991","http://link.springer.com/book/10.1007/978-94-011-3736-2","Book"
"Physicalism in Mathematics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-1902-0","A. D. Irvine","1990","http://link.springer.com/book/10.1007/978-94-009-1902-0","Book"
"Contemporary Research in the Foundations and Philosophy of Quantum Theory","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-2534-8","C. A. Hooker","1973","http://link.springer.com/book/10.1007/978-94-010-2534-8","Book"
"Science and Hypothesis","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-7288-0","Larry Laudan","1981","http://link.springer.com/book/10.1007/978-94-015-7288-0","Book"
"Causation, Chance and Credence","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-2863-3","Brian SkyrmsWilliam L. Harper","1988","http://link.springer.com/book/10.1007/978-94-009-2863-3","Book"
"Quantifying Music","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-7686-4","H. F. Cohen","1984","http://link.springer.com/book/10.1007/978-94-015-7686-4","Book"
"Foundational Problems in the Special Sciences","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1141-9","Robert E. ButtsJaakko Hintikka","1977","http://link.springer.com/book/10.1007/978-94-010-1141-9","Book"
"Logic, Foundations of Mathematics, and Computability Theory","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1138-9","Robert E. ButtsJaakko Hintikka","1977","http://link.springer.com/book/10.1007/978-94-010-1138-9","Book"
"The Completeness of Scientific Theories","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-0910-9","Martin Carrier","1994","http://link.springer.com/book/10.1007/978-94-011-0910-9","Book"
"Explanation, Causation and Deduction","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-5249-2","Fred Wilson","1985","http://link.springer.com/book/10.1007/978-94-009-5249-2","Book"
"Philosophy and Geometry","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-9622-5","Lorenzo Magnani","2001","http://link.springer.com/book/10.1007/978-94-010-9622-5","Book"
"IFS","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-9117-0","William L. HarperRobert StalnakerGlenn Pearce","1981","http://link.springer.com/book/10.1007/978-94-009-9117-0","Book"
"Witches, Scientists, Philosophers: Essays and Lectures","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-9504-9","Graham Solomon","2000","http://link.springer.com/book/10.1007/978-94-015-9504-9","Book"
